,xi,xi_z,(8/f)^0.5,f
202,2.64,13.2,6.54,0.18703999850368003
203,3.2,16.0,7.175,0.15539826876616203
204,3.84,19.2,7.711,0.1345453152910532
205,4.48,22.4,8.241,0.11779589567000105
206,5.2,26.0,8.675,0.10630434602064628
207,6.56,32.8,9.201,0.094497414379466
208,7.84,39.2,9.7,0.08502497608672549
209,9.2,46.0,10.11,0.07826861986007529
210,10.56,52.8,10.486,0.07275624558710633
211,11.92,59.6,10.877,0.06761946493579543
212,13.28,66.4,11.138,0.0644875028217313
213,14.64,73.2,11.393,0.06163306877312881
214,15.92,79.6,11.624,0.05920778094447304
215,4.0,20.0,8.515,0.11033687572171522
216,4.64,23.2,8.839,0.1023961715300219
217,5.28,26.4,9.165,0.09524124160054098
218,6.64,33.2,9.677,0.08542962596272113
219,7.92,39.6,10.187,0.07708988089411042
220,9.36,46.8,10.568,0.07163155478868405
221,10.64,53.2,11.092,0.06502348843472727
222,11.92,59.6,11.385,0.06171971572670433
223,13.28,66.4,11.575,0.059710125997695575
224,14.72,73.6,11.862,0.05685571789852966
225,16.0,80.0,12.053,0.05506804693166038
226,18.72,93.6,12.428,0.051794959501003206
227,21.36,106.8,12.762,0.04911933815817856
228,3.44,17.2,7.768,0.13257802747228856
229,4.08,20.4,8.344,0.1149056532662162
230,4.72,23.6,8.68,0.10618191084966766
231,5.28,26.4,8.976,0.09929429558243648
232,6.56,32.8,9.577,0.08722299842816525
233,7.92,39.6,10.052,0.07917444489609068
234,9.28,46.4,10.443,0.07335664002160941
235,10.64,53.2,10.778,0.06886739070857004
236,11.92,59.6,11.192,0.06386671578442889
237,13.28,66.4,11.503,0.060459944950162076
238,14.64,73.2,11.705,0.05839116643836329
239,16.0,80.0,11.985,0.05569470529581808
240,18.72,93.6,12.301,0.052869980472010095
241,2.64,13.2,7.258,0.15186442819511936
242,3.2,16.0,7.707,0.13468501191011142
243,3.92,19.6,8.279,0.11671702836228165
244,4.56,22.8,8.704,0.1055971561418685
245,5.2,26.0,9.066,0.09733265219943323
246,6.64,33.2,9.506,0.08853079559217564
247,7.92,39.6,9.915,0.08137753862953614
248,9.2,46.0,10.346,0.07473861384310848
249,10.56,52.8,10.763,0.06905948040389334
250,11.92,59.6,11.151,0.06433722950748862
251,13.28,66.4,11.428,0.061256125459405626
252,14.64,73.2,11.543,0.0600416468376001
253,16.08,80.4,11.955,0.055974577746152145
254,4.0,20.0,9.405,0.09044246431974126
255,4.64,23.2,9.789,0.08348593780082658
256,5.28,26.4,10.229,0.07645812258169529
257,6.56,32.8,10.851,0.06794389814577789
258,8.0,40.0,11.359,0.06200258378717222
259,9.28,46.4,11.891,0.05657873442579278
260,10.64,53.2,12.245,0.05335466630741192
261,11.84,59.2,12.562,0.05069584996928212
262,13.2,66.0,12.771,0.049050131631852935
263,14.48,72.4,13.107,0.04656754984877218
264,15.92,79.6,13.331,0.045015754135339904
265,18.64,93.2,13.594,0.04329078448074728
266,21.28,106.4,13.949,0.04111533550054665
267,3.44,17.2,9.107,0.09645823565178623
268,4.0,20.0,9.536,0.08797464078194676
269,4.72,23.6,10.013,0.07979240489810066
270,5.36,26.8,10.286,0.07561308316543133
271,6.64,33.2,10.893,0.06742096739329023
272,7.92,39.6,11.401,0.061546604154191144
273,9.28,46.4,11.867,0.05680781721579221
274,10.56,52.8,12.3,0.05287857756626346
275,11.92,59.6,12.614,0.05027873398851719
276,13.28,66.4,12.833,0.04857732528619984
277,14.56,72.8,13.093,0.0466671900003132
278,15.92,79.6,13.322,0.04507659764816008
279,2.48,12.4,8.188,0.11932579019328152
280,3.12,15.6,9.092,0.09677677218109101
281,3.92,19.6,9.556,0.0876067773303797
282,4.56,22.8,9.982,0.08028877947044813
283,5.2,26.0,10.297,0.07545161872912517
284,6.56,32.8,10.859,0.06784382429667304
285,7.92,39.6,11.506,0.0604284211905674
286,9.2,46.0,11.928,0.05622827058483248
287,10.56,52.8,12.31,0.052792700881176165
288,11.92,59.6,12.666,0.049866744837775874
289,13.28,66.4,12.942,0.0477625159822334
290,14.64,73.2,13.177,0.04607410366474054
291,15.92,79.6,13.362,0.044807122253387816
292,4.8,24.0,8.071,0.12281044142355661
293,5.36,26.8,8.495,0.11085702526951251
294,6.08,30.4,8.936,0.10018522243924567
295,6.72,33.6,9.229,0.09392488997961256
296,7.44,37.2,9.458,0.08943167556370238
297,8.08,40.4,9.795,0.08338368926442818
298,8.8,44.0,9.826,0.08285838561455794
299,9.36,46.8,10.158,0.07753067588413366
300,10.08,50.4,10.433,0.07349733166559314
301,10.8,54.0,10.439,0.07341286816174848
302,11.52,57.6,10.716,0.06966659379540957
303,12.0,60.0,10.591,0.07132077453540958
